Province and City,Gender,Age group,Year,Population,Unemployment rate,Employment rate,Population Total
"Kamloops, British Columbia ",Women,55 years and over,2021,24.3,x,26.7,24300
"Kamloops, British Columbia ",Women,55 years and over,2022,20.9,x,23.9,20900
"Kamloops, British Columbia ",Women,55 years and over,2023,16.2,x,29.6,16200
"Kamloops, British Columbia ",Women,55 years and over,2024,19.3,x,26.4,19300
"Kamloops, British Columbia ",Women,55 years and over,2025,18.1,x,22.7,18100
"Chilliwack, British Columbia ",Men,15 to 24 years,2021,5.2,x,59.6,5200
"Chilliwack, British Columbia ",Men,15 to 24 years,2022,5.8,x,58.6,5800
"Chilliwack, British Columbia ",Men,15 to 24 years,2023,7.3,x,64.4,7300
"Chilliwack, British Columbia ",Men,15 to 24 years,2024,9,x,58.9,9000
"Chilliwack, British Columbia ",Men,15 to 24 years,2025,9,x,66.7,9000
"Chilliwack, British Columbia ",Men,25 to 54 years,2021,18.9,x,88.9,18900
"Chilliwack, British Columbia ",Men,25 to 54 years,2022,23.6,x,89.8,23600
"Chilliwack, British Columbia ",Men,25 to 54 years,2023,21,x,88.1,21000
"Chilliwack, British Columbia ",Men,25 to 54 years,2024,23.7,x,84.4,23700
"Chilliwack, British Columbia ",Men,25 to 54 years,2025,21.9,x,88.1,21900
"Chilliwack, British Columbia ",Men,55 years and over,2021,19.7,x,37.1,19700
"Chilliwack, British Columbia ",Men,55 years and over,2022,16.2,x,38.9,16200
"Chilliwack, British Columbia ",Men,55 years and over,2023,16.6,x,41.6,16600
"Chilliwack, British Columbia ",Men,55 years and over,2024,17.3,x,37.6,17300
"Chilliwack, British Columbia ",Men,55 years and over,2025,17.8,x,38.2,17800
"Chilliwack, British Columbia ",Women,15 to 24 years,2021,5.4,x,68.5,5400
"Chilliwack, British Columbia ",Women,15 to 24 years,2022,5.2,x,57.7,5200
"Chilliwack, British Columbia ",Women,15 to 24 years,2023,6.4,x,78.1,6400
"Chilliwack, British Columbia ",Women,15 to 24 years,2024,4.9,x,57.1,4900
"Chilliwack, British Columbia ",Women,15 to 24 years,2025,7.5,x,49.3,7500
"Chilliwack, British Columbia ",Women,25 to 54 years,2021,19.9,x,78.4,19900
"Chilliwack, British Columbia ",Women,25 to 54 years,2022,23.3,x,78.1,23300
"Chilliwack, British Columbia ",Women,25 to 54 years,2023,23.9,x,74.5,23900
"Chilliwack, British Columbia ",Women,25 to 54 years,2024,21.7,x,74.7,21700
"Chilliwack, British Columbia ",Women,25 to 54 years,2025,23.4,x,77.4,23400
"Chilliwack, British Columbia ",Women,55 years and over,2021,21.3,x,27.2,21300
"Chilliwack, British Columbia ",Women,55 years and over,2022,18.4,x,34.2,18400
"Chilliwack, British Columbia ",Women,55 years and over,2023,19.8,x,33.3,19800
"Chilliwack, British Columbia ",Women,55 years and over,2024,20.5,x,33.7,20500
"Chilliwack, British Columbia ",Women,55 years and over,2025,19.2,x,25,19200
"Abbotsford-Mission, British Columbia",Men,15 to 24 years,2021,15.3,x,61.4,15300
"Abbotsford-Mission, British Columbia",Men,15 to 24 years,2022,13.4,x,56.7,13400
"Abbotsford-Mission, British Columbia",Men,15 to 24 years,2023,13.7,x,62,13700
"Abbotsford-Mission, British Columbia",Men,15 to 24 years,2024,15.6,x,61.5,15600
"Abbotsford-Mission, British Columbia",Men,15 to 24 years,2025,16.1,17.1,54,16100
"Abbotsford-Mission, British Columbia",Men,25 to 54 years,2021,40.7,4,89.2,40700
"Abbotsford-Mission, British Columbia",Men,25 to 54 years,2022,42.3,x,88.9,42300
"Abbotsford-Mission, British Columbia",Men,25 to 54 years,2023,41,x,90.5,41000
"Abbotsford-Mission, British Columbia",Men,25 to 54 years,2024,43.7,4.4,89,43700
"Abbotsford-Mission, British Columbia",Men,25 to 54 years,2025,46.3,4.5,87.7,46300
"Abbotsford-Mission, British Columbia",Men,55 years and over,2021,28.3,x,44.5,28300
"Abbotsford-Mission, British Columbia",Men,55 years and over,2022,26.8,x,41,26800
"Abbotsford-Mission, British Columbia",Men,55 years and over,2023,29.8,x,36.6,29800
"Abbotsford-Mission, British Columbia",Men,55 years and over,2024,28.9,x,41.5,28900
"Abbotsford-Mission, British Columbia",Men,55 years and over,2025,28.7,x,43.9,28700
"Abbotsford-Mission, British Columbia",Women,15 to 24 years,2021,12.6,x,61.1,12600
"Abbotsford-Mission, British Columbia",Women,15 to 24 years,2022,13.2,x,62.1,13200
"Abbotsford-Mission, British Columbia",Women,15 to 24 years,2023,10.8,x,55.6,10800
"Abbotsford-Mission, British Columbia",Women,15 to 24 years,2024,14.3,x,60.1,14300
"Abbotsford-Mission, British Columbia",Women,15 to 24 years,2025,14,x,56.4,14000
"Abbotsford-Mission, British Columbia",Women,25 to 54 years,2021,39.5,5.8,78,39500
"Abbotsford-Mission, British Columbia",Women,25 to 54 years,2022,41.3,4.4,79.4,41300
"Abbotsford-Mission, British Columbia",Women,25 to 54 years,2023,43.9,5.3,77,43900
"Abbotsford-Mission, British Columbia",Women,25 to 54 years,2024,44,5.5,78,44000
"Abbotsford-Mission, British Columbia",Women,25 to 54 years,2025,45.2,6.9,75,45200
"Abbotsford-Mission, British Columbia",Women,55 years and over,2021,30,x,30.3,30000
"Abbotsford-Mission, British Columbia",Women,55 years and over,2022,31.2,x,31.7,31200
"Abbotsford-Mission, British Columbia",Women,55 years and over,2023,33.4,x,27.2,33400
"Abbotsford-Mission, British Columbia",Women,55 years and over,2024,31.3,x,30.7,31300
"Abbotsford-Mission, British Columbia",Women,55 years and over,2025,30.9,x,27.8,30900
"Vancouver, British Columbia",Men,15 to 24 years,2021,168.2,14.3,53.9,168200
"Vancouver, British Columbia",Men,15 to 24 years,2022,176.3,11.5,53.6,176300
"Vancouver, British Columbia",Men,15 to 24 years,2023,177,10.5,56.6,177000
"Vancouver, British Columbia",Men,15 to 24 years,2024,191.3,11.6,51.2,191300
"Vancouver, British Columbia",Men,15 to 24 years,2025,204.8,12.7,50.9,204800
"Vancouver, British Columbia",Men,25 to 54 years,2021,606.2,5.2,88.1,606200
"Vancouver, British Columbia",Men,25 to 54 years,2022,618.6,4.2,87.9,618600
"Vancouver, British Columbia",Men,25 to 54 years,2023,653.7,5.1,88.2,653700
"Vancouver, British Columbia",Men,25 to 54 years,2024,684.9,5.2,88,684900
"Vancouver, British Columbia",Men,25 to 54 years,2025,703.4,5.3,87.8,703400
"Vancouver, British Columbia",Men,55 years and over,2021,378.9,6.3,45,378900
"Vancouver, British Columbia",Men,55 years and over,2022,392.5,3.9,45,392500
"Vancouver, British Columbia",Men,55 years and over,2023,395,3.3,44.8,395000
"Vancouver, British Columbia",Men,55 years and over,2024,417.6,3.1,44.5,417600
"Vancouver, British Columbia",Men,55 years and over,2025,429.4,4.3,43,429400
"Vancouver, British Columbia",Women,15 to 24 years,2021,171.7,13.9,54.7,171700
"Vancouver, British Columbia",Women,15 to 24 years,2022,171.5,7.3,60.3,171500
"Vancouver, British Columbia",Women,15 to 24 years,2023,180.6,9.5,57.9,180600
"Vancouver, British Columbia",Women,15 to 24 years,2024,181,13.6,49.7,181000
"Vancouver, British Columbia",Women,15 to 24 years,2025,182.4,17.1,43.7,182400
"Vancouver, British Columbia",Women,25 to 54 years,2021,626.3,5.6,79.5,626300
"Vancouver, British Columbia",Women,25 to 54 years,2022,623.9,4.3,81.1,623900
"Vancouver, British Columbia",Women,25 to 54 years,2023,650.2,5.2,80.4,650200
"Vancouver, British Columbia",Women,25 to 54 years,2024,682.7,5.7,79.1,682700
"Vancouver, British Columbia",Women,25 to 54 years,2025,701,5.9,80.4,701000
"Vancouver, British Columbia",Women,55 years and over,2021,411.5,7.9,32.7,411500
"Vancouver, British Columbia",Women,55 years and over,2022,430.1,2.8,33.6,430100
"Vancouver, British Columbia",Women,55 years and over,2023,443.3,5.4,33.7,443300
"Vancouver, British Columbia",Women,55 years and over,2024,464,4.1,32.6,464000
"Vancouver, British Columbia",Women,55 years and over,2025,475.6,4.2,31.2,475600
"Victoria, British Columbia",Men,15 to 24 years,2021,23.2,x,61.2,23200
"Victoria, British Columbia",Men,15 to 24 years,2022,18.8,x,62.8,18800
"Victoria, British Columbia",Men,15 to 24 years,2023,26.8,8.7,62.7,26800
"Victoria, British Columbia",Men,15 to 24 years,2024,23.3,x,65.7,23300
"Victoria, British Columbia",Men,15 to 24 years,2025,25.7,10.8,57.6,25700
"Victoria, British Columbia",Men,25 to 54 years,2021,80.6,4.3,86.2,80600
"Victoria, British Columbia",Men,25 to 54 years,2022,79.7,2.8,90.2,79700
"Victoria, British Columbia",Men,25 to 54 years,2023,82.5,3.6,88,82500
"Victoria, British Columbia",Men,25 to 54 years,2024,88.4,3.6,88.3,88400
"Victoria, British Columbia",Men,25 to 54 years,2025,91.1,3.5,88.6,91100
"Victoria, British Columbia",Men,55 years and over,2021,65.6,x,37.7,65600
"Victoria, British Columbia",Men,55 years and over,2022,70,x,37.3,70000
"Victoria, British Columbia",Men,55 years and over,2023,67.9,x,36.4,67900
"Victoria, British Columbia",Men,55 years and over,2024,68.8,x,40.4,68800
"Victoria, British Columbia",Men,55 years and over,2025,67.3,x,36.8,67300
"Victoria, British Columbia",Women,15 to 24 years,2021,20.5,x,61,20500
"Victoria, British Columbia",Women,15 to 24 years,2022,25.7,x,66.9,25700
"Victoria, British Columbia",Women,15 to 24 years,2023,22.3,x,62.8,22300
"Victoria, British Columbia",Women,15 to 24 years,2024,29.1,8.6,66,29100
"Victoria, British Columbia",Women,15 to 24 years,2025,27.4,8.5,63.1,27400
"Victoria, British Columbia",Women,25 to 54 years,2021,80.1,3.5,85.8,80100
"Victoria, British Columbia",Women,25 to 54 years,2022,83.3,3,85.7,83300
"Victoria, British Columbia",Women,25 to 54 years,2023,88.4,2.4,85.7,88400
"Victoria, British Columbia",Women,25 to 54 years,2024,87.8,3.2,85.4,87800
"Victoria, British Columbia",Women,25 to 54 years,2025,92.7,2.8,86.8,92700
"Victoria, British Columbia",Women,55 years and over,2021,78.7,7.3,27.6,78700
"Victoria, British Columbia",Women,55 years and over,2022,79.1,x,25.9,79100
"Victoria, British Columbia",Women,55 years and over,2023,76,x,28.4,76000
"Victoria, British Columbia",Women,55 years and over,2024,77,x,34.5,77000
"Victoria, British Columbia",Women,55 years and over,2025,76.1,x,33.2,76100
"Nanaimo, British Columbia ",Men,15 to 24 years,2021,8.4,x,63.1,8400
"Nanaimo, British Columbia ",Men,15 to 24 years,2022,8.7,x,58.6,8700
"Nanaimo, British Columbia ",Men,15 to 24 years,2023,7.8,x,65.4,7800
"Nanaimo, British Columbia ",Men,15 to 24 years,2024,8.3,x,45.8,8300
"Nanaimo, British Columbia ",Men,15 to 24 years,2025,7.5,x,53.3,7500
"Nanaimo, British Columbia ",Men,25 to 54 years,2021,21.3,x,82.2,21300
"Nanaimo, British Columbia ",Men,25 to 54 years,2022,23.5,x,85.5,23500
"Nanaimo, British Columbia ",Men,25 to 54 years,2023,23.7,x,86.1,23700
"Nanaimo, British Columbia ",Men,25 to 54 years,2024,24.3,x,86.8,24300
"Nanaimo, British Columbia ",Men,25 to 54 years,2025,26,7.1,86.2,26000
"Nanaimo, British Columbia ",Men,55 years and over,2021,19.7,x,36,19700
"Nanaimo, British Columbia ",Men,55 years and over,2022,19,x,30.5,19000
"Nanaimo, British Columbia ",Men,55 years and over,2023,17.3,x,31.8,17300
"Nanaimo, British Columbia ",Men,55 years and over,2024,18.3,x,34.4,18300
"Nanaimo, British Columbia ",Men,55 years and over,2025,18.6,x,30.6,18600
"Nanaimo, British Columbia ",Women,15 to 24 years,2021,4.8,x,75,4800
"Nanaimo, British Columbia ",Women,15 to 24 years,2022,6.1,x,68.9,6100
"Nanaimo, British Columbia ",Women,15 to 24 years,2023,9.9,x,75.8,9900
"Nanaimo, British Columbia ",Women,15 to 24 years,2024,8.7,x,72.4,8700
"Nanaimo, British Columbia ",Women,15 to 24 years,2025,8.7,x,65.5,8700
"Nanaimo, British Columbia ",Women,25 to 54 years,2021,22.5,x,80,22500
"Nanaimo, British Columbia ",Women,25 to 54 years,2022,25.2,x,87.7,25200
"Nanaimo, British Columbia ",Women,25 to 54 years,2023,24.5,x,81.6,24500
"Nanaimo, British Columbia ",Women,25 to 54 years,2024,26.3,x,78.7,26300
"Nanaimo, British Columbia ",Women,25 to 54 years,2025,24.9,x,79.5,24900
"Nanaimo, British Columbia ",Women,55 years and over,2021,24.5,x,27.8,24500
"Nanaimo, British Columbia ",Women,55 years and over,2022,20.9,x,29.7,20900
"Nanaimo, British Columbia ",Women,55 years and over,2023,22.3,x,29.6,22300
"Nanaimo, British Columbia ",Women,55 years and over,2024,22.2,x,26.6,22200
"Nanaimo, British Columbia ",Women,55 years and over,2025,24.4,x,23.8,24400
